Period,Vehicle Type,ICE,BEV,PHEV,Hybrid,HFCEV,All Fuels
2022,Large Car,4882,542,34,11,14,5483
2022,Large SUV,150860,1193,662,9530,0,162245
2022,Medium Car,17074,12608,185,8250,0,38117
2022,Medium SUV,168813,12682,3483,30134,1,215113
2022,People Mover,12021,13,0,0,0,12034
2022,Small Car,118711,1370,159,18437,0,138677
2022,Small SUV,175522,4949,1380,15423,0,197274
2022,Sports Car,8710,0,34,1,0,8745
2022,Ute,228857,2,0,0,0,228859
2022,Van,24369,51,0,0,0,24420
2022,All vehicle types,909819,33410,5937,81786,15,1030967
2023,Large Car,3791,1496,51,15,6,5359
2023,Large SUV,167664,3724,1442,11245,0,184075
2023,Medium Car,15359,21257,213,11405,0,48234
2023,Medium SUV,178022,42714,6959,38084,0,265779
2023,People Mover,14468,42,0,41,0,14551
2023,Small Car,107418,6681,114,17247,0,131460
2023,Small SUV,195839,11088,2306,20375,0,229608
2023,Sports Car,11613,3,134,7,0,11757
2023,Ute,249663,79,0,20,0,249762
2023,Van,21295,133,0,0,0,21428
2023,All vehicle types,965132,87217,11219,98439,6,1162013
2024,Large Car,1626,736,69,9,9,2449
2024,Large SUV,155087,4962,2225,17360,0,179634
2024,Medium Car,10510,27383,413,15530,0,53836
2024,Medium SUV,154898,32326,16815,82070,1,286110
2024,People Mover,12613,52,0,989,0,13654
2024,Small Car,94803,11902,154,23643,0,130502
2024,Small SUV,189802,13508,3130,32373,0,238813
2024,Sports Car,10384,62,174,13,0,10633
2024,Ute,238976,28,0,826,0,239830
2024,Van,26430,334,0,0,0,26764
2024,All vehicle types,895129,91293,22980,172813,10,1182225
2025,Large Car,724,504,144,3,2,1377
2025,Large SUV,83577,1754,2336,9417,0,97084
2025,Medium Car,3677,6355,166,4732,0,14930
2025,Medium SUV,73098,25019,11075,39975,0,149167
2025,People Mover,5553,257,0,1277,0,7087
2025,Small Car,37823,5022,41,12564,0,55450
2025,Small SUV,96234,7891,975,25062,0,130162
2025,Sports Car,6754,47,121,7,0,6929
2025,Ute,112639,8,10755,709,0,123111
2025,Van,12138,288,0,0,0,12426
2025,All vehicle types,432217,47145,25613,93746,2,598723
